CA City,Applications,lat,lng
DANA POINT,697,33.4733,-117.6968
Clovis,693,36.8278,-119.6831
MILLBRAE,688,37.5994,-122.4023
Valley Center,683,33.233,-117.0157
WESTLAKE VILLAGE,677,34.1369,-118.822
Rohnert Park,670,38.348,-122.6964
PIEDMONT,667,37.8226,-122.23
Buena Park,664,33.8572,-118.0046
WALNUT,662,34.0334,-117.8593
Capitola,654,36.9772,-121.9538
Mountain House,638,37.774,-121.5452
STOCKTON,638,37.9765,-121.3109
Sonoma,637,38.2902,-122.4598
Monterey,637,36.5922,-121.8807
KENSINGTON,632,37.9084,-122.2805
ONTARIO,627,34.0393,-117.6064
Rolling Hills Estates,625,33.7783,-118.3509
El Monte,621,34.0739,-118.0291
CHINO HILLS,616,33.9508,-117.7253
Fair Oaks,616,38.6504,-121.2497
Covina,610,34.0903,-117.8817
San Martin,607,37.0829,-121.5963
Fairfax,607,37.9886,-122.5952
GRASS VALLEY,602,39.2237,-121.0521
ALHAMBRA,600,34.084,-118.1355
Ross,598,37.9638,-122.5615
Larkspur,597,37.9393,-122.5313
FALLBROOK,595,33.3693,-117.2259
Lincoln,592,38.8759,-121.2916
GARDENA,590,33.8944,-118.3073
Placerville,588,38.7308,-120.7978
CYPRESS,588,33.8171,-118.0386
HERCULES,579,38.0064,-122.2564
PLEASANT HILL,578,37.954,-122.0759
MARTINEZ,573,37.9985,-122.116
San Dimas,571,34.1082,-117.809
Carmichael,569,38.6337,-121.323
Healdsburg,568,38.6229,-122.8651
SAN GABRIEL,565,34.0948,-118.099
Nevada City,561,39.2607,-121.0231
Manteca,561,37.7927,-121.2264
POMONA,559,34.0585,-117.7626
COVINA,559,34.0903,-117.8817
Downey,554,33.9379,-118.1312
VACAVILLE,553,38.359,-121.968
SANTA CLARITA,553,34.4175,-118.4964
Lompoc,549,34.6618,-120.4714
Villa Park,548,33.818,-117.8104
SAN LUIS OBISPO,541,35.2669,-120.6691
SAN JUAN CAPISTRANO,538,33.5009,-117.6544
Visalia,531,36.3276,-119.3269
LA HABRA,526,33.9278,-117.9513
Redding,521,40.5698,-122.365
Merced,516,37.3057,-120.4778
Lakeside,516,32.856,-116.904
ANTIOCH,516,37.9789,-121.7958
NEVADA CITY,512,39.2607,-121.0231
HAWTHORNE,511,33.9146,-118.3476
Bonita,507,32.6652,-117.0295
FAIR OAKS,505,38.6504,-121.2497
RAMONA,504,33.0474,-116.8767
La Mirada,503,33.9025,-118.0093
Atascadero,501,35.4827,-120.6858
CHINO,501,33.9836,-117.6654
SIERRA MADRE,498,34.1687,-118.0504
LAKEWOOD,497,33.8471,-118.1221
HOLLISTER,497,36.8563,-121.3981
Santa Maria,496,34.9334,-120.4432
Los Alamitos,493,33.7972,-118.0594
West Sacramento,488,38.5557,-121.5504
REDLANDS,487,34.0511,-117.1712
NAPA,484,38.2976,-122.3011
Clayton,482,37.9403,-121.9301
BENICIA,480,38.0725,-122.1525
Pacific Grove,477,36.6192,-121.9255
SAN DIMAS,474,34.1082,-117.809
Azusa,472,34.1386,-117.9124
WEST COVINA,469,34.0555,-117.9112
Shingle Springs,467,38.6665,-120.937
WATSONVILLE,466,36.9206,-121.7706
Jamul,461,32.7184,-116.8709
SEAL BEACH,456,33.7542,-118.0714
Topanga,456,34.0964,-118.6053
SAUSALITO,454,37.858,-122.4932
Palm Desert,453,33.7378,-116.3695
Carpinteria,453,34.3962,-119.5118
Carson,453,33.8374,-118.2559
TIBURON,451,37.8854,-122.4637
Moreno Valley,448,33.9244,-117.2045
La Habra,446,33.9278,-117.9513
Discovery Bay,444,37.9071,-121.6076
DOWNEY,443,33.9379,-118.1312
PLACERVILLE,440,38.7308,-120.7978
Montecito,439,34.4382,-119.6286
Lake Elsinore,438,33.6847,-117.3344
Cameron Park,436,38.6737,-120.9872
Pinole,434,37.9931,-122.2834
LOS ALAMITOS,429,33.7972,-118.0594
La Verne,427,34.1208,-117.7702
Truckee,427,39.3455,-120.1848
SAN ANSELMO,422,37.9821,-122.5699
SOQUEL,421,36.9978,-121.9482
CITRUS HEIGHTS,420,38.6948,-121.288
SEBASTOPOL,413,38.4001,-122.8276
BUENA PARK,406,33.8572,-118.0046
RANCHO CORDOVA,404,38.574,-121.2523
MURRIETA,403,33.572,-117.1909
Turlock,403,37.5053,-120.8588
SANTEE,401,32.8554,-116.9851
LA MIRADA,397,33.9025,-118.0093
Spring Valley,395,32.7316,-116.9766
Norco,394,33.9252,-117.5499
WOODLAND,394,38.6712,-121.75
Orangevale,389,38.6881,-121.2209
CHICO,387,39.7575,-121.8152
Palm Springs,386,33.8017,-116.5382
Santa Fe Springs,385,33.933,-118.0625
Gold River,383,38.6268,-121.2488
AUBURN,383,38.895,-121.0778
EL GRANADA,382,37.5134,-122.466
Loomis,382,38.8093,-121.1955
Rosemead,379,34.0689,-118.0823
ELK GROVE,379,38.416,-121.3842
Loma Linda,376,34.0451,-117.2498
MOSS BEACH,370,37.5184,-122.5036
Yucaipa,369,34.0336,-117.0429
Highland,368,34.1113,-117.1654
Kentfield,366,37.9481,-122.5496
EL SOBRANTE,356,33.8724,-117.4625
VILLA PARK,354,33.818,-117.8104
LA HONDA,354,37.3182,-122.2651
SANTA MARIA,353,34.9334,-120.4432
Inglewood,350,33.9566,-118.3444
MONTEREY PARK,347,34.0497,-118.1326
PALMDALE,346,34.5944,-118.1057
LA VERNE,345,34.1208,-117.7702
Alpine,345,32.8439,-116.7585
ORANGEVALE,345,38.6881,-121.2209
OJAI,343,34.4487,-119.2469
Citrus Heights,340,38.6948,-121.288
COTO DE CAZA,332,33.5961,-117.5862
FELTON,330,37.0392,-122.0804
Lodi,330,38.1218,-121.2932
VISALIA,329,36.3276,-119.3269
Menifee,324,33.6909,-117.1849
PINOLE,323,37.9931,-122.2834
FAIRFIELD,315,38.2592,-122.0324
Buellton,314,34.6152,-120.1943
LOMPOC,313,34.6618,-120.4714
CARMICHAEL,313,38.6337,-121.323
Winters,310,38.532,-121.9781
CAMERON PARK,310,38.6737,-120.9872
LANCASTER,309,34.6935,-118.1753
CARSON,309,33.8374,-118.2559
Lomita,307,33.7933,-118.3175
Winchester,306,33.7146,-117.0775
DUARTE,306,34.161,-117.9504
VALLEJO,302,38.1133,-122.2358
LAKE ELSINORE,302,33.6847,-117.3344
La Palma,298,33.8504,-118.0406
REDDING,297,40.5698,-122.365
INGLEWOOD,296,33.9566,-118.3444
CLOVIS,296,36.8278,-119.6831
EAST PALO ALTO,295,37.4671,-122.1352
CASTAIC,293,34.4818,-118.6317
American Canyon,286,38.1796,-122.2583
San Lorenzo,286,37.6737,-122.1349
TEMPLE CITY,286,34.1021,-118.0579
Perris,285,33.7899,-117.2233
Sunol,285,37.5894,-121.8854
OAK PARK,283,34.1849,-118.7669
CLAYTON,282,37.9403,-121.9301
MONTARA,281,37.5482,-122.4924
CORTE MADERA,281,37.9238,-122.5129
CAPITOLA,279,36.9772,-121.9538
San Bernardino,278,34.1417,-117.2946
BRENTWOOD,278,37.9355,-121.7191
Pittsburg,277,38.0182,-121.8964
Penngrove,276,38.3005,-122.6707
CARPINTERIA,275,34.3962,-119.5118
Hemet,274,33.7341,-116.9969
San Pablo,271,37.9628,-122.3425
BEN LOMOND,271,37.0782,-122.0882
Rancho Mirage,270,33.7634,-116.4271
VALLEY CENTER,270,33.233,-117.0157
Tehachapi,270,35.1274,-118.4749
BRISBANE,269,37.6898,-122.402
TOPANGA,269,34.0964,-118.6053
ROCKLIN,267,38.8075,-121.2488
ROHNERT PARK,267,38.348,-122.6964
Los Osos,260,35.3068,-120.8249
SHINGLE SPRINGS,259,38.6665,-120.937
La Quinta,259,33.6536,-116.2785
RANCHO CUCAMONGA,258,34.1248,-117.5666
BELLFLOWER,255,33.888,-118.1271
LOMITA,252,33.7933,-118.3175
Baldwin Park,252,34.0829,-117.9721
ROWLAND HEIGHTS,251,33.9716,-117.8911
WEST HOLLYWOOD,251,34.0882,-118.3718
FAIRFAX,251,37.9886,-122.5952
Sonora,251,37.9819,-120.3828
Rolling Hills,250,33.76,-118.3471
LARKSPUR,250,37.9393,-122.5313
Bonsall,248,33.2761,-117.1942
Montebello,248,34.0155,-118.1108
Norwalk,244,33.9069,-118.0829
CORONADO,243,32.664,-117.16
LAKESIDE,242,32.856,-116.904
FONTANA,242,34.0968,-117.4599
MONTEREY,241,36.5922,-121.8807
Acton,240,34.4956,-118.1857
BONITA,240,32.6652,-117.0295
Dixon,239,38.4468,-121.8249
PALM SPRINGS,237,33.8017,-116.5382
Pico Rivera,236,33.9902,-118.0888
Yuba City,235,39.1357,-121.6381
Solvang,233,34.5936,-120.1401
Apple Valley,230,34.5328,-117.2104
Eastvale,230,33.9617,-117.5802
MANTECA,230,37.7927,-121.2264
SAN BERNARDINO,229,34.1417,-117.2946
GRANITE BAY,227,38.7601,-121.1714
PALM DESERT,226,33.7378,-116.3695
Stanton,225,33.8002,-117.9935
Pismo Beach,224,35.1484,-120.6492
Signal Hill,220,33.8029,-118.1681
Wildomar,217,33.6173,-117.2582
PITTSBURG,216,38.0182,-121.8964
Antelope,215,38.7153,-121.361
Cotati,215,38.3279,-122.7092
SPRING VALLEY,214,32.7316,-116.9766
EL MONTE,214,34.0739,-118.0291
LODI,213,38.1218,-121.2932
STEVENSON RANCH,213,34.3894,-118.5885
AZUSA,213,34.1386,-117.9124
MORENO VALLEY,212,33.9244,-117.2045
Belvedere,212,37.8735,-122.4662
SAN MARTIN,212,37.0829,-121.5963
ALPINE,212,32.8439,-116.7585
NORCO,210,33.9252,-117.5499
Commerce,209,33.9963,-118.1519
Le Grand,208,37.2288,-120.254
LOMA LINDA,207,34.0451,-117.2498
South Lake Tahoe,207,38.9393,-119.9828
Lawndale,204,33.8884,-118.3531
HEMET,201,33.7341,-116.9969
Victorville,200,34.5277,-117.3536
Grover Beach,200,35.1204,-120.6199
Summerland,198,34.4255,-119.5893
La Puente,198,34.0323,-117.9533
Beaumont,198,33.9076,-116.9766
BALDWIN PARK,195,34.0829,-117.9721
ATASCADERO,195,35.4827,-120.6858
PALOS VERDES ESTATES,194,33.7871,-118.3976
La Habra Heights,194,33.9602,-117.951
Madera,193,36.9631,-120.0782
ARROYO GRANDE,193,35.1241,-120.5845
Santa Ynez,193,34.6151,-120.0944
MONTEBELLO,192,34.0155,-118.1108
HACIENDA HEIGHTS,191,33.997,-117.9728
WINDSOR,189,38.5417,-122.8086
SONOMA,187,38.2902,-122.4598
TURLOCK,186,37.5053,-120.8588
Patterson,186,37.4758,-121.1535
Colton,184,34.0538,-117.3254
North Tustin,183,33.7644,-117.7945
LAWNDALE,181,33.8884,-118.3531
Santa Rosa Valley,181,34.2453,-118.9023
Agua Dulce,180,34.5044,-118.316
NORWALK,177,33.9069,-118.0829
Ukiah,177,39.1463,-123.2105
Aromas,176,36.8771,-121.6404
LADERA RANCH,175,33.5491,-117.6416
Hesperia,173,34.3975,-117.3147
LA PALMA,171,33.8504,-118.0406
Calistoga,171,38.5818,-122.5824
HEALDSBURG,170,38.6229,-122.8651
YUBA CITY,169,39.1357,-121.6381
MONTECITO,167,34.4382,-119.6286
JAMUL,166,32.7184,-116.8709
LOOMIS,164,38.8093,-121.1955
Canyon Lake,164,33.6885,-117.2621
Port Hueneme,164,34.1617,-119.2036
Rossmoor,163,33.7886,-118.0803
Imperial Beach,162,32.5689,-117.1184
ROLLING HILLS,162,33.76,-118.3471
ROSS,160,37.9638,-122.5615
Bellflower,159,33.888,-118.1271
PACIFIC GROVE,158,36.6192,-121.9255
COTATI,157,38.3279,-122.7092
Seaside,156,36.6224,-121.8191
SANTA YNEZ,156,34.6151,-120.0944
KENTFIELD,151,37.9481,-122.5496
Eureka,151,40.7942,-124.1568
